studentid,firstname,surname,address,postcode,gender,dob,mobile,email,enrollmentno,status,parent,pfirstname,psurname,paddress,pworkphone,pmobile,pemail,course,coursecode,faculty,deanoffac,hos,proleader,coursetutor1,coursetutor2,building,coursefee,homestd,overseastd,accommodation,exchange,scholarship,ba,bsc,ma,msc,phd,datasci,eventdriprog,objectori,spreadsheet,sysanalysis,infotech,digitalgrap,english,games,animation,database1,maths1,addmaths1,physics,media,graphicdesign,artificialintel,architecture,machinelearn,socialcomputing,informationsecur,networkingcomm,module1,module2,module3,module4,module5,module6,module7,module8,module9,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,totalscore,percentage,ranking,dateofrank
-07878,hugh," jbhjiuhi",,,,03/07/21,,,,,,,,,,,,"Course Selector",,,,,,,,,,No,No,No,No,No,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,NULL,,,,,,,,,NULL,,NULL,,
010239,Fariah,AtifKhan,"Green Suburb area,Desert 5",PO99,Male,09/07/21,09877767,fariahkhan@gmail.com,SU097,Married,Father,Atif,Hussain,"Green Suburb area,Desert 5",08598938020,938837498728,atifhussain@gmail.com,"M.A. Animation",MAAM02,"School of Art","Prof. Lupin San","Dr.Jaziba Shahid","Dr.Aaira Sultan","Dr.Fabiha Tahir","Prof.Hadiq Zafar","Art Block",1500$,Yes,No,Yes,No,Yes,0,0,5,0,0,"Core Unit","Core Unit",No,"Core Unit",No,"Core Unit","Core Unit",No,No,Complete,"Core Unit",No,No,"Core Unit",No,No,"Core Unit",No,No,No,No,No,98,56,73,91,88,89,99,100,74,"Event Driven Program",Spreadsheet,"Information Technology","Digital Graphics",Animation,Database,Physics,DataScience,"Artificial Intelligence","1st Class",768,85,09-07-21
098098,Shazia,Mughal,"Saddar,model town karachi",PO97,Female,04/01/17,09894387389,ayesha@gmail.com,SU6789,Married,Guidance,Fahad,Mirza,"defence,phase 5",0283992891,3893820981,fahadkhan@yahoo.com,"BSc Information System",BScIS01,"School of Computer Science","Prof.Bill Gates","Mark Zukerberg Anthony","Dr. Peter Stone","Dr. Ayesha Sohail","Dr. Rehan Aslam","C Block",1200$,No,Yes,No,No,No,0,5,0,0,0,No,No,No,"Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit","Core Unit",No,No,No,"Core Unit","Core Unit",No,No,No,"Core Unit",99,78,65,89,99,87,66,65,71,"Computer Architecture",Spreadsheet,"System Analysis","Digital Graphics",Games,Maths,AddMaths,"Networking and Communications","Artificial Intelligence",719,79,"1st Class",09-07-21
098123,Jessica,Clements,"Saddar,model town karachi",PO97,Female,04/01/17,9894387389,ayesha@gmail.com,SU6789,Married,Guidance,Fahad,Mirza,"defence,phase 5",283992891,3893820981,fahadkhan@yahoo.com,"BSc Information System",BScIS01,"School of Computer Science","Prof.Bill Gates","Mark Zukerberg Anthony","Dr. Peter Stone","Dr. Ayesha Sohail","Dr. Rehan Aslam","C Block",1200$,No,Yes,No,No,No,0,5,0,0,0,No,No,No,"Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit","Core Unit",No,No,No,"Core Unit","Core Unit",No,No,No,"Core Unit",99,78,65,89,99,87,66,65,71,"Computer Architecture",Spreadsheet,"System Analysis","Digital Graphics",Games,Maths,AddMaths,"Networking and Communications","Artificial Intelligence",719,79,"1st Class",09-07-21
123123,Victoria,Suzan,"Saddar,model town karachi",PO97,Female,04/01/17,9894387389,ayesha@gmail.com,SU6789,Married,Guidance,Fahad,Mirza,"defence,phase 5",283992891,3893820981,fahadkhan@yahoo.com,"BSc Information System",BScIS01,"School of Computer Science","Prof.Bill Gates","Mark Zukerberg Anthony","Dr. Peter Stone","Dr. Ayesha Sohail","Dr. Rehan Aslam","C Block",1200$,No,Yes,No,No,No,0,5,0,0,0,No,No,No,"Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit","Core Unit",No,No,No,"Core Unit","Core Unit",No,No,No,"Core Unit",99,78,65,89,99,87,66,65,71,"Computer Architecture",Spreadsheet,"System Analysis","Digital Graphics",Games,Maths,AddMaths,"Networking and Communications","Artificial Intelligence",719,79,"1st Class",09-07-21
123456,Elon,Musk,"Peshawar Quetta",PO67,Male,08/07/76,07473672378,elonmusk@gmail.com,EGU789,Married,Father,Musk,Hammon,"paris,france",9898988328,09832977387,muskhammon@gmail.com,"BSc Software Engineering",BScSE01,"School of Computer Science","Prof. Joseph Wakai","Dr. Hafsa Siddiqui","Dr. Naomi Teesa","Dr.Leen Dahmer","Prof. Sadia Noman","G Block",1400$,No,Yes,Yes,Yes,Yes,0,4,0,0,0,"Core Unit","Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,99,98,67,93,89,99,91,NULL,"Event Driven Prog","Object Oriented","System Analysis","Digital Graphics",Games,Database,Physics,DataScience,NULL,"1st Class",734,91,06-07-21
202020,Ghania,Shah,"hunza,H block",PO90,Female,09/07/21,0882738273,ghania678@yahoo.com,SU897,Married,Brother,Shah,Khan,"Abbotabad,sector 9",083782781298,838378738,,"Course Selector",,,,,,,,,,No,No,No,No,No,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
234890,Sohana,Nasir,"Saddar,model town karachi",PO97,Female,04/01/17,09894387389,ayesha@gmail.com,SU6789,Married,Guidance,Fahad,Mirza,"defence,phase 5",0283992891,3893820981,fahadkhan@yahoo.com,"BSc Information System",BScIS01,"School of Computer Science","Prof.Bill Gates","Mark Zukerberg Anthony","Dr. Peter Stone","Dr. Ayesha Sohail","Dr. Rehan Aslam","C Block",1200$,No,Yes,No,No,No,0,5,0,0,0,No,No,No,"Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit","Core Unit",No,No,No,"Core Unit","Core Unit",No,No,No,"Core Unit",99,78,65,89,99,87,66,65,71,"Computer Architecture",Spreadsheet,"System Analysis","Digital Graphics",Games,Maths,AddMaths,"Networking and Communications","Artificial Intelligence",719,79,"1st Class",09-07-21
4578998,sheza,saleem,sindh,Po09,Female,07/07/17,8978979876,fg@gmail.com,SU78,Single,Father,muhammad,saleem,karachi,9088978,87678678,gmail.,"BSc Software Engineering",BScSE01,"School of Computer Science","Prof. Joseph Wakai","Dr. Hafsa Siddiqui","Dr. Naomi Teesa","Dr.Leen Dahmer","Prof. Sadia Noman","G Block",1400$,Yes,No,Yes,No,Yes,0,3,0,0,0,"Core Unit","Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,No,No,No,"Core Unit",No,"Core Unit","Core Unit",No,"Core Unit",No,No,No,No,No,89,99,78,67,90,99,90,78,89,"Event Driven Program","Object Oriented","System Analysis","Digital Graphics",Media,Maths,Physics,DataScience,"Artificial Intelligence",779,86,"2nd Class",03-10-16
654321,Sara,Hina,"Peshawar Quetta",PO67,Male,08/07/76,07473672378,elonmusk@gmail.com,EGU789,Married,Father,Musk,Hammon,"paris,france",9898988328,09832977387,muskhammon@gmail.com,"BSc Software Engineering",BScSE01,"School of Computer Science","Prof. Joseph Wakai","Dr. Hafsa Siddiqui","Dr. Naomi Teesa","Dr.Leen Dahmer","Prof. Sadia Noman","G Block",1400$,No,Yes,Yes,Yes,Yes,0,4,0,0,0,"Core Unit","Core Unit","Core Unit",No,"Core Unit",No,"Core Unit",No,"Core Unit",No,"Core Unit",No,No,"Core Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,99,98,67,93,89,99,91,NULL,"Event Driven Prog","Object Oriented","System Analysis","Digital Graphics",Games,Database,Physics,DataScience,NULL,"1st Class",734,91,06-07-21
